Gauge_R,POINT_X,POINT_Y
8020010,127.1708672,-18.01214323
8020020,126.0891907,-18.61636849
8020030,124.49058,-18.18694465
8020031,124.58793,-18.2739
8020032,125.061652,-18.00250781
8020040,124.7961024,-17.93944988
8020050,125.8828167,-18.83111152
8020060,124.8397198,-18.5069486
8020061,125.40444,-18.99527
8020062,125.492239,-18.54720852
8020070,124.1622407,-18.11385435
8020070,124.1622407,-18.11385435
8020070,124.1622407,-18.11385435
8020070,124.1622407,-18.11385435
8020080,123.6474896,-17.73253209
8020080,123.6474896,-17.73253209
8020080,123.6474896,-17.73253209
8020080,123.6474896,-17.73253209
8020081,123.8914235,-18.13054146
8020082,124.0686287,-18.16193132
8020550,125.5780911,-18.20997565
8020551,125.5538894,-18.03750164
8020552,125.7816749,-17.97720252
8020553,125.8947327,-18.10694602
8020554,125.8792099,-18.23387436
8020555,125.8875113,-18.28887995
8021370,126.0258325,-17.67207701
8021560,126.2989775,-18.26001763
8021980,126.5944606,-18.44974064
8021981,126.813064,-18.71112459
8022020,126.3111272,-18.0151565
8022030,126.1325536,-18.3363787
8022130,126.0508814,-16.87142361
8022310,126.2380616,-18.90113831
9190000,141.5530467,-15.36333847
9190001,141.9930575,-15.36417099
9190010,145.1869515,-16.57326415
9190020,144.4427767,-17.82500233
9190030,144.2897264,-16.47139641
9190031,144.6147174,-16.65947442
9190040,144.5969409,-17.47390493
9190050,145.22889,-16.67917818
9190060,143.8205409,-17.43502434
9190061,143.943608,-17.49077704
9190070,144.8138969,-16.71057343
9190080,143.8502787,-17.32416351
9190090,142.3769873,-15.95113728
9190091,143.1080869,-16.3841778
9190092,143.3902962,-16.63003286
9190093,143.625836,-17.29944996
9190110,143.6786104,-16.53390255
9190111,144.053913,-16.46055546
9190120,143.7225292,-16.39834508
9190130,145.0022146,-16.49779091
9190140,144.8911378,-16.56303564
9192010,144.7783469,-16.10834414
9192020,144.3310968,-16.08221466
9192030,143.3619257,-15.90778576
9192031,144.1153116,-15.98805868
9192040,143.0386238,-16.04165441
9192050,144.2891686,-16.01196736
9193050,145.3011042,-17.17834575
9193090,143.7855754,-16.54612947
9193091,143.9411174,-16.63943488
9193092,143.9619819,-16.8919331
9193100,144.2875164,-16.98305274
9193101,144.5908548,-17.05970535
9193102,144.6866467,-17.07534432
9193110,144.8989334,-17.18224264
9193120,144.1063815,-16.65972222
9193121,144.1911457,-16.67858892
81500001,130.3405885,-12.88195079
81500002,130.7245913,-12.91638348
81500100,130.9511349,-13.02419337
81500970,130.9677999,-12.96390324
81501800,130.7624922,-12.96946241
81502000,131.0011117,-12.99028725
81502040,130.9411246,-12.94834715
81700001,131.2713946,-12.3330559
81700020,131.1077714,-13.24083162
81700021,131.0836258,-13.24944879
81700050,131.2708227,-12.94863907
81700051,131.2172064,-13.04833523
81700060,131.3155492,-13.42391034
81700080,131.085275,-13.41722298
81700200,131.2353014,-12.90917972
81700660,131.1225335,-13.01392203
81700760,131.1052699,-13.18165911
81700840,131.2339395,-13.09138748
81702400,131.4016898,-13.14836286
81800001,131.7180415,-12.42666654
81800260,132.220031,-13.6028074
81800350,131.646372,-12.90692926
81800351,131.7002439,-12.95328639
81800352,131.7133451,-13.27622584
81800353,132.11061,-13.57057398
81800354,131.8805607,-13.18526398
81800690,131.717784,-13.53250506
81802520,131.9867241,-13.67582929
,142.3752776,-15.94111176
,141.6766791,-15.24526222
,125.1138876,-17.37193507
,125.2265016,-17.16638682
,124.9869783,-17.12310679
,125.4269792,-17.00917788
,125.0583817,-16.39198425
,127.6003372,-17.42584225
,127.7688642,-18.39394576
,141.4986076,-15.83749203
,145.3030688,-16.77912556
,130.9728375,-12.83031358
,130.8861087,-12.43334256
,131.0736069,-12.60556107
,130.9956231,-12.70115694
,131.0027874,-12.70863113
,131.0524735,-12.58949393
,130.661649,-12.52446428
,130.9450088,-12.77335713
,130.8708281,-12.39222963
,131.0544562,-12.91002505
,130.9644151,-12.89693811
,130.971426,-12.74390636
,131.0838581,-12.46251467
,130.9761319,-12.48583472
,130.9055672,-12.83413073
,131.023334,-12.61390416
,131.1928171,-12.8799528
,131.1272142,-12.84057377
,131.2003116,-12.80198387
,132.0535875,-14.70033898
,131.1224899,-12.78448634
,131.7850174,-12.54864722
,132.0932644,-12.35360975
,131.9372569,-12.60021124
,132.1744629,-12.79225216
,131.85088,-12.51530482
