Gauge,Assignments
81700080,0
9190070,6
9193091,0
81702400,0
8021370,0
9193092,0
8020080,3
8020551,5
9190020,6
8020010,6
81700840,0
81800260,0
8020554,0
9192031,0
81500002,0
81700001,0
9192010,0
9193121,6
8020080,3
9190140,8
8020060,3
81500001,0
9190093,0
8020031,0
8020082,6
9190031,8
9190000,2
9192020,0
9190010,4
8020080,3
8020020,9
81800001,0
9193100,0
9190092,0
9190130,0
81700050,0
8022020,6
9190090,8
8020553,5
9190061,0
8020080,3
81800350,0
8020552,0
9190040,0
8020550,3
9193120,6
81700051,0
8021980,6
8020040,9
9193090,0
81502040,0
9192050,6
9190050,0
9190060,0
9190030,8
81500970,0
9190091,8
81800354,0
9193102,0
9190110,8
8020081,7
81700020,0
81800353,0
9192040,0
9190120,0
8020070,3
9193101,0
81700200,0
8022130,0
8020061,1
81500100,0
8020070,3
81700021,0
8020062,5
9192030,0
81700760,0
9193110,0
8021981,6
81501800,0
9190001,0
81800690,0
81700660,0
8021560,0
9190080,0
9193050,0
81800351,0
8020070,3
81802520,0
8020555,5
9190111,8
8020030,3
81800352,0
81502000,0
8020070,3
8020032,0
81700060,0
8022310,6
8022030,0
8020050,5
