,meanAnIndFloodDuration,cvAnIndFloodDuration,meanAnIndOverbankFloodDuration,returnPeriodIndBankfullQ,meanAnFloodDuration,cvFloodDuration,meanAnOverbankFloodDuration,meanAnOverbankFloodVolRelBankfull,bankfullQ,meanQ,YearEvent1,YearEvent2,YearEvent5,YearEvent10,YearEvent15,YearEvent20,meanAnDailyQ,medQ,specificMeanQ,specificMedQ,cvMeanQ,skewnessQ,meanQ01,meanQ02,meanQ03,meanQ04,meanQ05,meanQ06,meanQ07,meanQ08,meanQ09,meanQ10,meanQ11,meanQ12,cvQ01,cvQ02,cvQ03,cvQ04,cvQ05,cvQ06,cvQ07,cvQ08,cvQ09,cvQ10,cvQ11,cvQ12,seasonMeanQ1,seasonMeanQ2,seasonMeanQ3,seasonMeanQ4,seasonCvQ1,seasonCvQ2,seasonCvQ3,seasonCvQ4,specificAnMeanQ,CvAnQ,skewnwssAnQ,specificAnMedQ,medAnMinQ,exceedQ75.,exceedQ90.,exceedQ99.,specificMeanAnMin,medAnMaxQrelativeToMeanAnDailyQ,exceedQ1.,exceedQ10.,exceedQ25.,specificMeanAnMax,volHighQ1x,volHighQ3x,volHighQ7x,ARI1,ARI2,ARI3,ARI4,ARI5,ARI6,skewAnMaxQ,meanAnSpell75.Exceed,meanAnSpell90.Exceed,meanAnSpell99.Exceed,cvAnSpell75.Exceed,cvAnSpell90.Exceed,cvAnSpell99.Exceed,meanAnSpell25.Exceed,meanAnSpell10.Exceed,meanAnSpell1.Exceed,cvAnSpell25.Exceed,cvAnSpell10.Exceed,cvAnSpell1.Exceed,meanAnSpell3x,meanAnSpell7x,meanAnMinMov1,cvAnMinMov1,meanAnMinMov3,cvAnMinMov3,meanAnMinMov7,cvAnMinMov7,meanAnMinMov30,cvAnMinMov30,meanAnMinMov90,cvAnMinMov90,lowQDuration75,lowQDuration90,lowQDuration99,CVlowQDuration75,CVlowQDuration90,CVlowQDuration99,meanAnZeroFlowDays,meanAnMaxMov1,cvAnMaxMov1,meanAnMaxMov3,cvAnMaxMov3,meanAnMaxMov7,cvAnMaxMov7,meanAnMaxMov30,cvAnMaxMov30,meanAnMaxMov90,cvAnMaxMov90,highQduration25,highQduration10,highQduration01,cvHighQduration25,cvHighQduration10,cvHighQduration01,predictabilityMeanQ,constancyMeanQ,seasonalityMeanQ,perenniality,JDayAnMin,sdJDayAnMin,predictabilityMinQ,seasonalityMinQ,JDayAnMax,sdJDayAnMax,predictabilityMaxQ,seasonalityMaxQ,riseRate,cvRise,fallRate,cvFall,revPerYear,cvRev
meanAnIndFloodDuration,1,0.100621877,-0.94010671,0.999891912,0.963309928,0.042577592,-0.941784663,0.423271858,0.452443013,0.383878176,0.446261151,0.458231983,0.442702792,0.440820721,0.42045974,0.422137916,0.384035576,0.453766203,-0.380399317,-0.271027453,-0.256148926,-0.541008646,0.387843675,0.353823451,0.375747023,0.432663532,0.473464484,0.448949341,0.403543862,0.395043987,0.399055509,0.496259189,0.580239309,0.473050587,-0.24423883,-0.248182291,-0.412395987,-0.41039572,-0.23833325,-0.316747429,-0.331498195,-0.237932669,-0.338943373,-0.198079756,-0.239586645,-0.335802399,0.076910533,0.07554483,-0.272555301,-0.367259782,-0.231127212,-0.383720162,-0.311976793,-0.205158069,-0.380442187,0.329856025,0.351381806,-0.376548427,-0.26043824,0.371167655,0.353726995,0.351516347,-0.270247355,-0.489353426,0.415032924,0.322654023,0.421677153,-0.605587464,-0.61849517,-0.61849517,-0.61849517,0.368220472,0.404215915,0.435724224,0.440288879,0.432980874,0.411314016,-0.556154674,-0.439651469,-0.373752193,-0.306892056,0.109331802,0.188727879,0.092610989,8.41E-16,-8.41E-16,8.16E-16,-0.000997908,0.385840996,0.726339398,0.343636616,0.302492975,0.342916252,-0.06445605,0.341075742,0.287984153,0.341231196,0.291243102,0.351387502,-0.167745539,0.376393128,-0.381064904,0.456764189,0.380197523,0.45499018,0.412347404,0.336219619,0.422147096,-0.300580205,0.397456609,-0.54990921,0.413901981,-0.290484944,0.4127623,-0.046027778,0.383698426,0.229184034,0.382598422,0.376150141,0.785140115,0.654067548,0.824886069,0.095563382,0.339872675,-0.033509145,0.077916543,0.03354506,-0.007895994,-0.261606696,0.045159285,-0.582677403,-0.227451202,-0.017765745,0.109131038,-0.386517467,0.536781422,-0.440098724,0.269222831,-0.522860908,0.350407165,-0.50940581,-0.766902989,0.217500723
cvAnIndFloodDuration,0.100621877,1,-0.064202038,0.097331167,-0.032087436,0.640820014,-0.060753903,0.104967154,0.184461246,0.212115536,0.181523357,0.181913709,0.186742922,0.158573141,0.15745299,0.158315734,0.212051879,-0.058333254,0.016423509,0.002541339,-0.028627926,-0.168744218,0.229684743,0.244318782,0.202493079,0.090126062,0.006683295,-0.055219144,-0.077354066,-0.097823295,-0.09021739,-0.024638382,0.116360877,0.20617911,0.043944357,-0.036426434,0.029556221,-0.46405194,0.499832597,0.153103397,0.175637911,0.216954932,0.077925013,0.321766349,0.341415835,0.274246696,0.15471167,-0.179544183,-0.047094021,-0.065847134,0.021468624,-0.129010564,0.18007693,0.358648613,0.01623773,0.304525785,0.55192531,0.022320672,-0.045282116,-0.11240602,-0.115048146,-0.113786304,0.016346157,-0.024969937,0.188161913,0.257697144,0.154134196,-0.104297425,-0.3114313,-0.3114313,-0.3114313,0.238397504,0.199745822,0.182513012,0.187436288,0.19466048,0.204366396,-0.400296371,-0.023914288,0.136274783,0.187285224,0.05267463,-0.163996812,-0.203084859,-2.50E-17,2.50E-17,-1.50E-17,-0.119430996,-0.107869305,0.503304761,0.172860588,0.06549266,-0.116418378,0.290048275,-0.118308759,0.536385656,-0.121176843,0.498884469,-0.124151252,0.221244138,-0.115740401,0.132130572,0.050772333,0.210322551,0.362921908,0.041414587,-0.130848421,-0.126343262,0.188008441,0.201760498,-0.317457699,0.190088643,-0.17856656,0.188406144,-0.083614445,0.21749254,0.273170377,0.221713093,0.436250119,0.226275027,0.090291969,-0.146787405,0.149538506,0.377061389,0.571731097,-0.011519154,-0.008844553,0.002388015,-0.064133078,-0.084056064,0.084149887,-0.046732087,0.036985608,-0.111967633,-0.315936028,0.239041436,-0.376679478,0.328069563,-0.214602421,0.262791818,-0.214338462,-0.071668361,0.039266675
meanAnIndOverbankFloodDuration,-0.94010671,-0.064202038,1,-0.94476802,-0.924385878,0.018204759,0.998635707,-0.416698191,-0.431238846,-0.365343439,-0.425738652,-0.436152626,-0.424345001,-0.427865209,-0.412998545,-0.410235701,-0.365475944,-0.4160078,0.389368038,0.318829431,0.209210223,0.584797634,-0.368507876,-0.338734091,-0.358877296,-0.411731629,-0.440308316,-0.417170539,-0.374426438,-0.369850172,-0.370670851,-0.4563842,-0.523900177,-0.436077188,0.237862071,0.19298288,0.412931681,0.38494337,0.247120605,0.296799517,0.340775393,0.216739968,0.307258433,0.150498445,0.187900676,0.285891747,-0.088382935,-0.098744812,0.327683065,0.454275187,0.195287711,0.358345258,0.290288853,0.165098454,0.389380198,-0.348847237,-0.2938307,0.384516181,0.316803151,-0.346297529,-0.331376661,-0.333827405,0.31724319,0.425974372,-0.397490837,-0.307244484,-0.38792083,0.614133031,0.634797077,0.634797077,0.634797077,-0.359966071,-0.394635201,-0.419112098,-0.421309003,-0.417620954,-0.400360481,0.588522066,0.481159328,0.409703741,0.331781152,-0.082720678,-0.17407055,-0.059487517,-1.44E-17,1.44E-17,-2.17E-17,-0.004317111,-0.455317691,-0.644315521,-0.34718617,-0.362408883,-0.322241665,-0.051824072,-0.319971643,-0.261249091,-0.319555797,-0.281696651,-0.328938542,0.218838526,-0.352695138,0.35105269,-0.432988759,-0.336151225,-0.375066744,-0.33591152,-0.254149852,-0.411610129,0.322840806,-0.389780851,0.58177444,-0.40347449,0.287274932,-0.398340396,0.017019776,-0.367664923,-0.240691438,-0.364633859,-0.347852435,-0.760679822,-0.659804962,-0.816394387,-0.098494665,-0.399327396,0.060000916,-0.113624175,-0.108508542,0.093748157,0.319967612,-0.063119191,0.609542596,0.145698311,0.089248015,-0.130052973,0.379623802,-0.561989794,0.5018553,-0.281457295,0.531840359,-0.346263264,0.547811246,0.753087063,-0.228653529
returnPeriodIndBankfullQ,0.999891912,0.097331167,-0.94476802,1,0.964276789,0.039016281,-0.946337723,0.425009161,0.453595461,0.384932351,0.447445714,0.459358933,0.443958652,0.442317331,0.422142217,0.423598583,0.385089411,0.454826791,-0.381518166,-0.273551282,-0.255665661,-0.544308281,0.388832524,0.354837167,0.376864804,0.434051553,0.474677078,0.450202404,0.404776676,0.396468793,0.400344526,0.497257365,0.5804846,0.473625791,-0.244716555,-0.247130014,-0.414173087,-0.411190899,-0.241054506,-0.318779807,-0.33484586,-0.239350883,-0.340196607,-0.198598705,-0.239744448,-0.335572205,0.076278623,0.078178986,-0.274898401,-0.371609338,-0.230510341,-0.384780805,-0.313842785,-0.205701091,-0.381559209,0.33083963,0.348780577,-0.377673155,-0.262833932,0.372559101,0.35513485,0.353026268,-0.272808234,-0.489227654,0.416247076,0.323538623,0.422406311,-0.607397421,-0.62114235,-0.62114235,-0.62114235,0.369554097,0.405679043,0.437028524,0.441485307,0.434254243,0.412714494,-0.559126907,-0.443341666,-0.377787619,-0.310557523,0.110074914,0.190743096,0.093561481,1.96E-15,-1.96E-15,1.97E-15,0.000425783,0.391010368,0.724613495,0.344729572,0.305286859,0.344343713,-0.060324418,0.342495356,0.286372272,0.342649721,0.290581589,0.352836739,-0.172324912,0.377853389,-0.382702582,0.457660245,0.379046573,0.451582492,0.411419574,0.335126388,0.42389087,-0.304138123,0.398962237,-0.552646637,0.415381283,-0.290927861,0.414094804,-0.044723721,0.384827584,0.230095977,0.383641978,0.375539452,0.786987942,0.656772668,0.827659587,0.096869219,0.34250563,-0.036752222,0.078796184,0.035813624,-0.010722583,-0.26398217,0.047634213,-0.585923721,-0.225863279,-0.020130062,0.111708178,-0.386480244,0.539800278,-0.443912128,0.2706727,-0.524276034,0.351716265,-0.511883184,-0.768920717,0.217793937
meanAnFloodDuration,0.963309928,-0.032087436,-0.924385878,0.964276789,1,0.025810833,-0.927024964,0.509758159,0.527147661,0.465345621,0.522280049,0.532416947,0.518715082,0.52216795,0.505591327,0.505122037,0.465486171,0.544057268,-0.286369714,-0.234591334,-0.280918072,-0.509214865,0.464465309,0.43382893,0.460982966,0.525995859,0.56114865,0.534533746,0.488173897,0.484737993,0.484905154,0.571673406,0.622786847,0.53427379,-0.265092453,-0.271878327,-0.468537561,-0.352045377,-0.35107925,-0.405092189,-0.45232162,-0.329438637,-0.40549506,-0.288733529,-0.277287129,-0.362501182,-0.022415643,0.197926622,-0.227700287,-0.396448597,-0.241573824,-0.41732445,-0.400709468,-0.25729198,-0.28638587,0.220840918,0.159910475,-0.282443811,-0.211452935,0.466334531,0.446535215,0.442477209,-0.236764101,-0.525621585,0.496434062,0.402804332,0.50024884,-0.519633698,-0.585453756,-0.585453756,-0.585453756,0.448801266,0.486501247,0.513416225,0.515839476,0.508356274,0.489594836,-0.514703463,-0.453393226,-0.474786005,-0.428499371,0.124299855,0.29856198,0.208623058,-6.37E-16,6.37E-16,-6.86E-16,0.03243086,0.474772707,0.586417914,0.34125049,0.290932487,0.434688338,-0.145550339,0.43305864,0.102093464,0.433617759,0.092311744,0.44525154,-0.315265937,0.469631339,-0.442065519,0.509791462,0.365183433,0.316854357,0.450045362,0.389924835,0.499608416,-0.423183512,0.480115242,-0.492615647,0.496330773,-0.226688556,0.4953846,-0.003472774,0.464847948,0.155548671,0.462537024,0.231146505,0.8064533,0.659247694,0.873666394,0.0698937,0.272112655,-0.177576284,0.105624323,0.032031146,0.014416476,-0.218893857,0.140516292,-0.615094078,-0.245851053,0.012613102,0.164079263,-0.35292776,0.55158422,-0.407583559,0.334153922,-0.452078127,0.42577236,-0.468030481,-0.728085251,0.127599822
cvFloodDuration,0.042577592,0.640820014,0.018204759,0.039016281,0.025810833,1,0.02908035,0.248343406,0.285896382,0.323028336,0.285132631,0.284491457,0.292896352,0.281297656,0.28890065,0.291467294,0.322908764,0.051238881,0.395367219,0.23704194,-0.170958253,0.091105841,0.331028083,0.357468885,0.322346708,0.212878157,0.111380857,0.051173042,0.035978279,0.021803545,0.025706712,0.060485543,0.119434884,0.259941791,-0.02543475,-0.165634877,-0.175082422,-0.278656233,0.078199382,-0.141210249,-0.100726256,-0.092184573,-0.111603071,0.104275294,0.130008467,0.078951764,-0.239474274,0.226283387,0.220206846,0.05106861,-0.063873592,-0.276845964,-0.140904634,0.097987021,0.395288096,-0.093874523,0.046730091,0.397204005,0.20270759,0.012060937,0.008074185,0.008838532,0.233396529,-0.151660133,0.301120087,0.370762793,0.242506674,0.281146819,-0.152233819,-0.152233819,-0.152233819,0.355691131,0.319066325,0.293051639,0.2947275,0.303745438,0.31999298,-0.146695222,-0.253688271,-0.230190014,-0.219395764,0.105217182,0.121178678,0.102591152,3.44E-16,-3.44E-16,3.69E-16,-0.061789203,-0.04379926,0.156098257,0.073888815,-0.121336974,0.007575697,-0.083232918,0.006480595,0.163510288,0.004078617,0.01318618,0.001918864,-0.142709622,0.008074833,0.012187131,0.245794447,0.304116029,0.170959585,0.298394167,0.13106547,0.093633329,-0.219040709,0.323202494,-0.057035981,0.307929879,0.106099189,0.303250482,0.099648665,0.330110265,0.061358522,0.331255916,0.022149955,0.281411769,-0.137313793,-0.183276855,0.150203023,0.087699788,0.392550697,-0.066903093,-0.181619875,0.219391809,0.196244089,0.127482145,-0.206467967,-0.204168589,0.247152479,0.181385843,-0.040731554,0.0398761,-0.009202699,0.446356355,-0.058543999,0.376159388,-0.046521542,0.033042093,-0.235282595
meanAnOverbankFloodDuration,-0.941784663,-0.060753903,0.998635707,-0.946337723,-0.927024964,0.02908035,1,-0.415449729,-0.430270756,-0.364614057,-0.424796416,-0.435157961,-0.423233101,-0.426625534,-0.411739749,-0.409085775,-0.364748014,-0.418538881,0.38133303,0.308521901,0.214567701,0.575093245,-0.367748435,-0.337622863,-0.358008291,-0.411808385,-0.442440213,-0.419856716,-0.377334354,-0.372783347,-0.3737639,-0.45879129,-0.525970999,-0.436593388,0.230744542,0.199976277,0.408304264,0.390716332,0.256217564,0.300115339,0.344427591,0.227513716,0.313377751,0.162557595,0.198490366,0.292608077,-0.081715101,-0.099743511,0.314009588,0.441027637,0.195556626,0.362058588,0.296138243,0.174670557,0.381345258,-0.341213703,-0.286989718,0.376937359,0.302873039,-0.349188136,-0.334219424,-0.336090161,0.306017275,0.434603093,-0.396589831,-0.30621426,-0.38883708,0.605356196,0.62989801,0.62989801,0.62989801,-0.358375901,-0.393139662,-0.417974093,-0.420688132,-0.416649375,-0.399382339,0.589839723,0.487135524,0.412623996,0.333137462,-0.101681605,-0.185220414,-0.064484376,-7.44E-18,7.44E-18,-3.35E-17,-0.022279091,-0.46267845,-0.644534274,-0.34045462,-0.352642738,-0.325100944,-0.061487277,-0.322956368,-0.266219196,-0.322665879,-0.288702425,-0.332086201,0.220997225,-0.355634836,0.359345299,-0.427835215,-0.330156957,-0.374244909,-0.331157593,-0.254250671,-0.411769572,0.324228834,-0.388353482,0.56899157,-0.402154622,0.278574345,-0.397319303,0.012729256,-0.366700847,-0.239457289,-0.363770773,-0.343109425,-0.760168498,-0.66008791,-0.819473777,-0.12026244,-0.399185441,0.06778347,-0.100163286,-0.099584239,0.090344796,0.306545969,-0.068448049,0.599512371,0.158703163,0.081279509,-0.121802442,0.377940331,-0.551955058,0.498993698,-0.277547534,0.519605642,-0.343975921,0.528270749,0.750167482,-0.22322512
meanAnOverbankFloodVolRelBankfull,0.423271858,0.104967154,-0.416698191,0.425009161,0.509758159,0.248343406,-0.415449729,1,0.965736771,0.926841767,0.963826003,0.967681013,0.972331281,0.985004493,0.988096858,0.989740283,0.926879539,0.903408177,0.073497334,-0.115115819,-0.210895771,-0.267664791,0.920066811,0.909274533,0.929233918,0.951571482,0.92748794,0.8995816,0.877694598,0.871128171,0.874734947,0.905322472,0.868848212,0.90217636,-0.183101601,-0.280295893,-0.456048468,-0.139106862,-0.244940264,-0.461966433,-0.454160232,-0.523361488,-0.495641153,-0.422147425,-0.007161324,-0.189517211,-0.079947865,0.202642947,-0.072587708,-0.344426939,-0.17247315,-0.314506157,-0.485149739,-0.074402441,0.073557118,-0.033571202,-0.064885862,0.095101304,0.001654574,0.877081439,0.86683022,0.863621351,-0.109716263,-0.44278105,0.950075778,0.879008086,0.892155084,-0.130708514,-0.289944386,-0.289944386,-0.289944386,0.932733228,0.959676831,0.971111851,0.974768011,0.978025652,0.971598413,-0.192962508,-0.26458931,-0.367284194,-0.440078832,0.215280778,0.430363538,0.52329926,5.83E-17,-5.83E-17,5.17E-17,-0.178120215,0.164364154,0.323230209,0.337081935,0.215165744,0.857572244,-0.274086036,0.856029369,-0.261192955,0.855657812,-0.287286581,0.861688942,-0.496287275,0.874468598,-0.380518784,0.708196618,0.577904854,0.294853114,0.568906634,0.456779275,0.698663185,-0.452262009,0.964138584,-0.223725376,0.964842069,-0.058795021,0.956362456,0.079112875,0.931864657,-0.017400288,0.925330595,-0.016778197,0.683697905,0.449022428,0.594781582,-0.064065306,0.188691582,-0.137542583,0.328875457,0.041492558,0.162743405,-0.098908032,0.255462956,-0.307583352,-0.161565613,0.108438378,0.177869295,-0.410383765,0.590208735,-0.282774643,0.880492519,-0.212102114,0.934466952,-0.224148352,-0.531624001,-0.236812349
bankfullQ,0.452443013,0.184461246,-0.431238846,0.453595461,0.527147661,0.285896382,-0.430270756,0.965736771,1,0.985794808,0.999860091,0.999917992,0.999159993,0.995142697,0.990462376,0.990675459,0.985824942,0.890062348,0.077020205,-0.126997477,-0.308217409,-0.357113125,0.98345877,0.974199922,0.985881087,0.984939979,0.930996439,0.864831488,0.815832945,0.803438062,0.806604973,0.892172189,0.929178811,0.977873255,-0.307954637,-0.381576812,-0.521649915,-0.21071683,-0.183376312,-0.371854675,-0.373520465,-0.413535011,-0.400544586,-0.317182596,-0.006420777,-0.208064059,0.014645882,0.103132901,-0.139146528,-0.355537679,-0.291599972,-0.388589212,-0.390217415,-0.035363176,0.077055898,-0.064224245,-0.070587002,0.103329154,-0.074308705,0.810832572,0.789703391,0.782959821,-0.125684149,-0.46920066,0.996096924,0.955130548,0.966288682,-0.176733341,-0.403680517,-0.403680517,-0.403680517,0.983597367,0.995220744,0.999210413,0.998297572,0.996650675,0.995366856,-0.295022308,-0.24242592,-0.322139117,-0.374794446,0.112623625,0.330477184,0.396068982,7.09E-17,-7.09E-17,4.83E-17,-0.267427403,0.146395197,0.4115068,0.454110577,0.261009435,0.774315498,-0.200830956,0.771332612,-0.168631703,0.769813212,-0.198016139,0.778764053,-0.407785054,0.801167929,-0.317680774,0.688267446,0.563294252,0.300169945,0.526074228,0.38826541,0.56680234,-0.384222507,0.993424848,-0.344183241,0.996273822,-0.201644257,0.996184306,-0.093122917,0.98717528,-0.118683879,0.985272786,-0.044106833,0.721421088,0.474793263,0.58831445,-0.127175199,0.242722187,-0.03057375,0.317515172,-0.008021727,0.227152164,-0.158016301,0.162785271,-0.350459894,-0.238684376,0.16958058,0.071997527,-0.499120431,0.607460151,-0.247796385,0.900735603,-0.327598167,0.975706084,-0.329739153,-0.526831703,-0.202036726
meanQ,0.383878176,0.212115536,-0.365343439,0.384932351,0.465345621,0.323028336,-0.364614057,0.926841767,0.985794808,1,0.987494521,0.984625206,0.983509295,0.973878616,0.970826294,0.967960741,0.999999942,0.849029909,0.153698516,-0.099398407,-0.343623355,-0.338293841,0.999447279,0.996914197,0.999757374,0.974925193,0.89869875,0.815971419,0.760604385,0.74789547,0.74815976,0.844174926,0.900630059,0.9838418,-0.342241391,-0.419171166,-0.537549121,-0.215946839,-0.148236352,-0.322305767,-0.333164248,-0.362667943,-0.346020543,-0.266539856,0.010481948,-0.190444281,0.026799113,0.077318496,-0.127849277,-0.330855212,-0.329281924,-0.409318709,-0.339542704,-0.009699623,0.153723321,-0.138211703,-0.132329078,0.182242488,-0.069971348,0.756500249,0.732501529,0.72476811,-0.101164871,-0.453001274,0.99629411,0.990545252,0.980647745,-0.108929078,-0.393281827,-0.393281827,-0.393281827,0.996451432,0.992645181,0.984801567,0.982594792,0.979254555,0.984331786,-0.282586697,-0.206147423,-0.287567767,-0.340888792,0.07678534,0.29205174,0.357093229,2.18E-17,-2.18E-17,-2.57E-17,-0.296347357,0.103893449,0.352337831,0.493064757,0.255270883,0.715540212,-0.188564591,0.712256544,-0.173776577,0.7102135,-0.200460636,0.719365852,-0.371993118,0.742647526,-0.265493973,0.65510971,0.538272976,0.267246177,0.48946202,0.358178475,0.507085743,-0.350171703,0.990650886,-0.344569133,0.991674799,-0.229291264,0.995424811,-0.16377315,0.999521295,-0.203297466,0.999776789,-0.121731884,0.682456794,0.411601258,0.507497609,-0.150399574,0.221731944,0.019644134,0.303236821,-0.044050186,0.270081033,-0.147408983,0.130941982,-0.314984689,-0.261013249,0.204853624,0.002032124,-0.521085568,0.574823087,-0.195720995,0.912715976,-0.326041473,0.98663705,-0.326408926,-0.453002968,-0.201659262
