Gauge,Assignments,X Coordinate,Y Coordinate
9192020,0,144.3310968,-16.08221466
9190093,4,143.625836,-17.29944996
9190020,0,144.4427767,-17.82500233
9190130,2,145.0022146,-16.49779091
9192010,0,144.7783469,-16.10834414
9190120,2,143.7225292,-16.39834508
9193092,5,143.9619819,-16.8919331
9192030,5,143.3619257,-15.90778576
9190140,1,144.8911378,-16.56303564
9190050,1,145.22889,-16.67917818
9193100,5,144.2875164,-16.98305274
9190010,2,145.1869515,-16.57326415
9190111,1,144.053913,-16.46055546
9192031,5,144.1153116,-15.98805868
9193102,5,144.6866467,-17.07534432
9190080,0,143.8502787,-17.32416351
9193050,5,145.3011042,-17.17834575
9193101,5,144.5908548,-17.05970535
9190092,4,143.3902962,-16.63003286
9193110,5,144.8989334,-17.18224264
9190070,0,144.8138969,-16.71057343
9190110,3,143.6786104,-16.53390255
9193120,0,144.1063815,-16.65972222
9190001,6,141.9930575,-15.36417099
9193121,0,144.1911457,-16.67858892
9190060,4,143.8205409,-17.43502434
9190030,1,144.2897264,-16.47139641
9192050,0,144.2891686,-16.01196736
9190091,3,143.1080869,-16.3841778
9193091,0,143.9411174,-16.63943488
9190040,0,144.5969409,-17.47390493
9193090,5,143.7855754,-16.54612947
9190000,3,141.5530467,-15.36333847
9190031,1,144.6147174,-16.65947442
9190061,4,143.943608,-17.49077704
9192040,5,143.0386238,-16.04165441
9190090,3,142.3769873,-15.95113728
